kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:09 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (2477 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:09 +0000] "GET /static/compiled/fontawesome-webfont.woff2 HTTP/1.1" 200 (77160 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:09 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:09 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:09 +0000] "GET /static/compiled/k-icons.1606897495149.woff2 HTTP/1.1" 200 (10464 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:09 +0000] "GET /static/compiled/Roboto-RegularItalic.woff2 HTTP/1.1" 200 (70280 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:09 +0000] "GET /static/compiled/kobologo.svg HTTP/1.1" 200 (5219 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:09 +0000] "GET /static/favicon.ico HTTP/1.1" 200 (15086 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:08:23:53 +0000] "GET / HTTP/1.1" 200 (953 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:08:23:54 +0000] "GET /jsi18n/ HTTP/1.1" 200 (42220 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
